词语,热度
疫情,1670
患者,554
病例,479
新冠,466
医院,463
措施,446
肺炎,433
人员,354
企业,352
国家,313
社区,308
情况,292
重症,292
医疗,277
医疗队,238
记者,237
风险,236
病毒,225
重点,219
地区,213
指导,195
全国,193
医务人员,189
病人,182
疫苗,174
物资,164
野生动物,164
方舱,154
基层,154
人民,153
部门,152
机制,141
时间,137
口罩,136
疾病,134
部署,134
专家,133
中央,132
人群,132
收治,130
核酸,126
信息,125
机构,125
出院,122
社会,120
过程,119
会议,118
地方,117
场所,113
单位,113
政策,113
来源,110
主持人,110
方案,108
技术,108
责任,108
发布会,107
科学,107
新闻,102
形势,101
总书记,101
精准,97
策略,94
能力,94
有序,94
方式,91
药物,90
建议,88
医护人员,87
群众,85
数据,83
区域,82
公共卫生,79
病区,79
农村,79
力量,78
资源,76
公众,76
小区,76
团队,74
医生,72
经济社会,72
全省,72
规范,70
床位,69
队员,69
领导,68
平台,67
轻症,67
专家组,66
力度,66
医疗机构,65
疑似病例,64
精神,64
阻击战,64
居民,64
居家,64
流行病学,62
症状,62
省份,62
